acct_no,equip_status,count_of_latecharge,core_programming,all_star,payment_method,line_of_business,commitment,core_international,tenure,credit_score,trds_mop_equal_2_or_gt_num,tot_amt_now_past_due_amt,bill1,bill2,bill3,bill4,bill5,curr_bal,dish_restart_flag,no_of_receivers,total_devices,total_equip_charge_amt
8255909798050883,UNRESOLVED,1,Latino Dos,1_Star,Standard Billing,DSL with Video,0, NA,407,575,                 .73,              430.84,1248.66,1248.66,1248.66,1248.66,1248.66,412.75,NULL,3.0,2,500.0
8255909798050925,RETURNED,1,OTHER PROGRAMMING,1_Star,Recurring Credit Card,Video Only,1, NA,866,705,                1.36,             1953.27,0.0,0.0,0.0,0.0,0.0,182.42,NULL,2.0,2,500.0
8255909798052137,UNRESOLVED,2,Latino Max,2_Star,Standard Billing,Video Only,1, NA,339,565,                 .28,                 .00,414.73,414.73,414.73,414.73,414.73,238.41,NULL,1.0,1,100.0
8255909798052699,NO CHARGE-SYSTEM WAIVED,1,Welcome Pack,1_Star,Recurring Credit Card,DSL and Telephone with Video,0, NA,517,605,                 .00,                 .00,459.11,459.11,459.11,459.11,459.11,509.96,NULL,3.0,1,100.0
8255909798052699,RETURNED,1,Welcome Pack,1_Star,Recurring Credit Card,DSL and Telephone with Video,0, NA,517,605,                 .00,                 .00,459.11,459.11,459.11,459.11,459.11,509.96,NULL,3.0,2,500.0
8255909798054349,RETURNED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,117,0,                 .61,                 .00,530.02,530.02,530.02,530.02,530.02,327.22,NULL,2.0,2,500.0
8255909798054620,UNRESOLVED,1,Latino Plus,1_Star,Standard Billing,Video Only,0, NA,89,0,                 .35,                 .00,673.59,673.59,673.59,673.59,673.59,139.31,NULL,1.0,1,200.0
8255909798056070,UNRESOLVED,1,Latino Dos,1_Star,Standard Billing,Video Only,0, NA,390,0,                 .34,               34.38,989.43,989.43,989.43,989.43,989.43,275.06,NULL,3.0,3,600.0
8255909798056096,RETURNED,1,Dish America,1_Star,Standard Billing,Video Only,1, NA,400,585,                1.64,               35.64,392.34,392.34,392.34,392.34,392.34,205.62,NULL,1.0,1,300.0
8255909798056245,UNRESOLVED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,1305,645,                1.54,               60.24,366.12,366.12,366.12,366.12,366.12,190.2,NULL,1.0,1,300.0
8255909798056336,UNRESOLVED,1,AT 120,2_Star,Standard Billing,Video Only,0, NA,176,585,                 .30,                 .00,759.97,759.97,759.97,759.97,759.97,209.96,NULL,1.0,1,300.0
8255909798056401,UNRESOLVED,3,AT 120,1_Star,Standard Billing,Video Only,0, NA,1482,625,                1.01,               44.57,912.88,912.88,912.88,912.88,912.88,325.51,NULL,2.0,2,500.0
8255909798056690,RETURNED,2,Welcome Pack,2_Star,Recurring Credit Card,Video Only,1, NA,1271,625,                1.72,              518.78,0.0,0.0,0.0,0.0,0.0,53.41,NULL,1.0,1,300.0
8255909798056922,ACE COLLECTED,2,AT 200,3_Star,Standard Billing,Video Only,1, NA,87,685,                1.63,                 .00,39.08,39.08,39.08,39.08,39.08,108.72,NULL,1.0,1,300.0
8255909798056971,RETURNED,1,AT 120,1_Star,Standard Billing,Video Only,1, NA,595,565,                 .39,                2.14,439.53,439.53,439.53,439.53,439.53,265.54,NULL,4.0,4,700.0
8255909798057342,RETURNED,2,AT 200,1_Star,Standard Billing,DSL and Telephone with Video,0, CORE INTERNATIONAL,255,565,                 .45,                5.33,741.9,766.9,791.9,816.9,841.9,689.49,NULL,4.0,2,500.0
8255909798057342,UNRESOLVED,2,AT 200,1_Star,Standard Billing,DSL and Telephone with Video,0, CORE INTERNATIONAL,255,565,                 .45,                5.33,741.9,766.9,791.9,816.9,841.9,689.49,NULL,4.0,1,100.0
8255909798057391,UNRESOLVED,2,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,1061,565,                 .95,              499.42,446.05,446.05,446.05,446.05,446.05,115.9,NULL,1.0,1,400.0
8255909798058605,UNRESOLVED,1,Latino Max,1_Star,Recurring Credit Card,Video Only,0, NA,217,615,                 .35,               79.08,1480.24,1480.24,1480.24,1480.24,1480.24,411.01,NULL,5.0,4,700.0
8255909798058746,RETURNED,2,Smart Pack,1_Star,Standard Billing,Video Only,1, NA,613,595,                1.60,             1651.00,17.0,17.0,17.0,17.0,17.0,170.68,NULL,4.0,4,700.0
8255909798058795,ACE COLLECTED,4,Latino Max,1_Star,Standard Billing,Video Only,0, NA,375,0,                1.67,              254.67,0.0,0.0,0.0,0.0,782.47,315.43,NULL,2.0,2,400.0
8255909798060270,RETURNED,5,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,886,575,                1.07,              458.53,253.99,253.99,253.99,253.99,253.99,326.35,NULL,5.0,5,1100.0
8255909798060411,RETURNED,4,AT 250,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,532,565,                1.13,               64.77,371.17,371.17,371.17,371.17,371.17,412.65,NULL,2.0,2,500.0
8255909798060544,UNRESOLVED,2,AT 120,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,119,545,                 .90,               66.81,914.46,914.46,914.46,914.46,914.46,184.67,NULL,3.0,3,600.0
8255909798060973,UNRESOLVED,0,AT 250,1_Star,Standard Billing,Video Only,0, NA,52,565,                1.41,                7.81,1679.84,1679.84,1679.84,1679.84,1679.84,1141.18,NULL,3.0,3,600.0
8255909798061294,UNRESOLVED,2,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,56,675,                1.36,                 .00,0.0,0.0,0.0,0.0,0.0,153.12,NULL,4.0,1,300.0
8255909798062821,RETURNED,8,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,574,555,                1.28,                 .40,768.53,768.53,768.53,768.53,768.53,226.55,NULL,3.0,2,500.0
8255909798061963,UNRESOLVED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,607,665,                 .64,                2.00,310.92,310.92,310.92,310.92,310.92,170.4,NULL,1.0,1,200.0
8255909798062821,UNRESOLVED,8,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,574,555,                1.28,                 .40,768.53,768.53,768.53,768.53,768.53,226.55,NULL,3.0,1,100.0
8255909798062938,UNRESOLVED,2,Latino Max,1_Star,Standard Billing,Video Only,0, NA,69,545,                1.80,              300.47,817.91,817.91,817.91,817.91,817.91,120.37,NULL,1.0,1,300.0
8255909798063951,UNRESOLVED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,390,575,                 .45,                 .00,860.04,860.04,860.04,860.04,860.04,263.37,NULL,2.0,2,500.0
8255909798064330,NO CHARGE-SYSTEM WAIVED,1,AT 120,1_Star,Standard Billing,Video Only,0, NA,1509,665,                1.00,                 .00,207.94,208.24,208.24,203.24,198.24,389.69,NULL,2.0,1,300.0
8255909798064876,UNRESOLVED,1,AT 120,1_Star,Standard Billing,Wildblue with Video ,0, NA,176,535,                1.76,              142.42,1524.32,1524.32,1524.32,1524.32,1524.32,401.95,NULL,1.0,3,770.0
8255909798066517,RETURNED,2,AT 200,1_Star,Standard Billing,Video Only,1, NA,574,565,                1.05,                 .00,0.0,0.0,0.0,255.64,255.64,294.08,NULL,3.0,3,600.0
8255909798066533,UNRESOLVED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,363,575,                 .50,                 .00,1014.21,1014.21,1014.21,1014.21,1014.21,322.42,NULL,1.0,1,400.0
8255909798068182,UNRESOLVED,2,Smart Pack,1_Star,Standard Billing,Video Only,0, NA,146,575,                1.10,                 .00,818.04,818.04,818.04,818.04,818.04,109.3,NULL,2.0,1,300.0
8255909798070048,ACE COLLECTED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,301,525,                1.10,               44.46,382.55,382.55,382.55,382.55,382.55,255.54,NULL,1.0,1,300.0
8255909798070931,ACE COLLECTED,2,Dish America,1_Star,Standard Billing,Video Only,1, NA,206,635,                 .63,               79.75,71.42,71.42,71.42,71.42,71.42,109.83,NULL,2.0,2,500.0
8255909798070980,MANUALLY WAIVED,3,AT 120+,3_Star,Standard Billing,Wildblue with Video ,0, NA,636,675,                 .08,                 .00,384.26,384.26,384.26,384.26,384.26,462.5,NULL,2.0,1,220.0
8255909798070980,RETURNED,3,AT 120+,3_Star,Standard Billing,Wildblue with Video ,0, NA,636,675,                 .08,                 .00,384.26,384.26,384.26,384.26,384.26,462.5,NULL,2.0,3,650.0
8255909798073109,RETURNED,1,AT 120,1_Star,Standard Billing,Video Only,1, NA,330,615,                 .73,                1.56,487.73,487.73,487.73,487.73,487.73,137.24,NULL,2.0,1,400.0
8255909798073950,UNRESOLVED,2,Smart Pack,1_Star,Standard Billing,Video Only,1, NA,553,0,                1.04,              187.02,452.82,452.82,452.82,452.82,452.82,96.0,NULL,1.0,1,300.0
8255909798074073,RETURNED,1,AT 120,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,345,685,                 .39,               49.79,312.72,312.72,312.72,312.72,312.72,93.0,NULL,1.0,1,300.0
8255909798074099,UNRESOLVED,1,AT 250,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,391,575,                1.64,                 .00,854.91,854.91,854.91,854.91,854.91,250.8,NULL,3.0,2,500.0
8255909798074578,UNRESOLVED,1,Americas Everything Pack,1_Star,Standard Billing,Video Only,0, NA,664,535,                 .19,                2.81,709.38,709.38,709.38,709.38,709.38,557.39,NULL,2.0,1,300.0
8255909798074610,RETURNED,1,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,292,745,                1.11,                 .00,510.07,510.07,510.07,510.07,510.07,162.71,NULL,1.0,1,200.0
8255909798074727,RETURNED,6,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,762,705,                 .05,                 .00,345.6,345.6,345.6,345.6,345.6,349.8,NULL,7.0,2,800.0
8255909798074826,UNRESOLVED,2,AT 200,1_Star,Standard Billing,Video Only,1, NA,939,625,                 .58,                5.06,319.91,319.91,319.91,319.91,319.91,121.48,NULL,3.0,1,400.0
8255909798075153,RETURNED,1,AT 200,1_Star,Standard Billing,Video Only,1, NA,192,615,                 .88,                 .00,257.39,257.39,257.39,257.39,257.39,304.96,NULL,2.0,2,500.0
8255909798075740,RETURNED,3,AT 120+,1_Star,Standard Billing,Wildblue with Video ,0, NA,297,555,                1.26,              155.71,789.37,789.37,789.37,789.37,789.37,322.38,NULL,2.0,2,450.0
8255909798075740,UNRESOLVED,3,AT 120+,1_Star,Standard Billing,Wildblue with Video ,0, NA,297,555,                1.26,              155.71,789.37,789.37,789.37,789.37,789.37,322.38,NULL,2.0,1,220.0
8255909798077068,RETURNED,1,Dish Mexico,1_Star,Standard Billing,Video Only,1, NA,948,615,                 .06,                 .00,0.0,0.0,0.0,0.0,0.0,118.11,NULL,2.0,2,500.0
8255909798077290,UNRESOLVED,4,OTHER PROGRAMMING,2_Star,Standard Billing,Video Only,0, NA,451,565,                 .19,                 .00,696.99,696.99,696.99,696.99,696.99,268.46,NULL,2.0,2,500.0
8255909798078975,RETURNED,2,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,1, NA,706,575,                1.26,               29.21,0.0,0.0,0.0,0.0,0.0,54.71,NULL,1.0,1,300.0
8255909798079023,UNRESOLVED,0,Latino Max,2_Star,Standard Billing,Video Only,1, NA,48,615,                 .94,               55.61,831.24,831.24,831.24,831.24,831.24,447.14,NULL,2.0,1,400.0
8255909798079106,RETURNED,3,AT 120,1_Star,Standard Billing,Video Only,0, NA,374,625,                1.16,              249.06,10.0,10.0,10.0,10.0,10.0,164.76,NULL,4.0,4,700.0
8255909798079262,RETURNED,2,Dish America,1_Star,Standard Billing,Video Only,0, NA,1115,675,                1.08,               70.92,0.0,0.0,0.0,0.0,0.0,117.98,NULL,1.0,1,300.0
8255909798079312,RETURNED,1,AT 250,1_Star,Standard Billing,DSL with Video,0, NA,1153,665,                 .20,                 .00,321.65,321.65,321.65,321.65,321.65,416.22,NULL,2.0,2,500.0
8255909798079742,RETURNED,1,OTHER PROGRAMMING,3_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,186,675,                 .28,                 .00,47.26,47.26,47.26,47.26,47.26,67.62,NULL,1.0,1,300.0
8255909798080930,RETURNED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,541,585,                 .88,              141.33,10.0,10.0,10.0,10.0,10.0,377.8,NULL,3.0,3,600.0
8255909798081953,RETURNED,4,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,711,625,                 .67,                 .00,212.67,212.67,212.67,212.67,212.67,267.48,NULL,4.0,3,600.0
8255909798082464,RETURNED,3,OTHER PROGRAMMING,2_Star,Standard Billing,Video Only,0, NA,537,0,                 .90,               10.31,0.0,0.0,0.0,0.0,0.0,274.96,NULL,2.0,1,400.0
8255909798083298,RETURNED,11,AT 120,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,843,585,                1.81,               85.85,126.47,126.47,126.47,126.47,126.47,387.68,NULL,2.0,1,300.0
8255909798083405,RETURNED,2,OTHER PROGRAMMING,2_Star,Standard Billing,Video Only,0, NA,401,575,                 .39,              429.61,422.78,422.78,422.78,422.78,422.78,309.62,NULL,4.0,4,700.0
8255909798083702,UNRESOLVED,1,Smart Pack,2_Star,Standard Billing,Video Only,0, NA,206,0,                 .55,                5.45,659.97,659.97,659.97,659.97,659.97,71.17,NULL,1.0,1,300.0
8255909798084130,UNRESOLVED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,131,555,                1.27,               24.47,1015.04,1015.04,1015.04,1015.04,1015.04,249.38,NULL,2.0,1,400.0
8255909798084189,RETURNED,3,AT 120,1_Star,Standard Billing,Video Only,0, NA,701,0,                 .77,               36.54,91.56,91.56,91.56,91.56,91.56,182.04,NULL,2.0,2,500.0
8255909798085392,UNRESOLVED,0,UNKNOWN,2_Star,Standard Billing,NOT AVAILABLE,0, NA,383,565,                 .69,                 .00,395.64,395.64,395.64,21.4,-110.12,0.0,NULL,0.0,2,500.0
8255909798085491,RETURNED,2,Smart Pack,1_Star,Standard Billing,Video Only,0, NA,1720,625,                1.15,               31.20,118.59,118.59,118.59,118.59,118.59,139.06,NULL,1.0,1,300.0
8255909798085509,UNRESOLVED,4,AT 250,1_Star,Standard Billing,Video Only,0, NA,457,545,                 .88,               24.18,545.47,545.47,545.47,545.47,545.47,208.94,NULL,1.0,1,300.0
8255909798085566,MANUALLY ADJUSTED,2,Welcome Pack,1_Star,Standard Billing,Video Only,0, NA,1641,555,                 .80,                 .00,57.88,129.29,64.41,152.76,62.88,246.94,NULL,2.0,2,500.0
8255909798085715,RETURNED,1,Welcome Pack,1_Star,Standard Billing,Video Only,1, NA,703,675,                 .47,                 .00,0.0,0.0,0.0,0.0,0.0,63.24,NULL,2.0,1,300.0
8255909798086226,RETURNED,2,AT 120,1_Star,Standard Billing,Video Only,1, NA,1275,715,                 .72,              217.41,109.1,109.1,109.1,109.1,109.1,195.58,NULL,2.0,2,500.0
8255909798086424,RETURNED,2,Latino Dos,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,247,565,                1.28,               14.59,474.61,474.61,474.61,474.61,474.61,149.12,NULL,1.0,1,300.0
8255909798087059,RETURNED,3,AT 120,5_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,745,705,                 .60,                 .00,139.21,139.21,139.21,139.21,139.21,139.21,NULL,3.0,3,600.0
8255909798087232,UNRESOLVED,1,Dish Mexico,3_Star,Standard Billing,Video Only,0, NA,872,635,                 .36,                 .00,649.71,649.71,649.71,649.71,649.71,426.95,NULL,1.0,1,300.0
8255909798087349,RETURNED,2,AT 250,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,146,545,                 .92,                 .00,421.22,421.22,421.22,421.22,421.22,246.89,NULL,3.0,3,600.0
8255909798087422,UNRESOLVED,3,AT 120,1_Star,Standard Billing,Video Only,0, NA,454,565,                 .90,               29.88,674.3,674.3,674.3,674.3,674.3,191.54,NULL,2.0,1,300.0
8255909798087745,RETURNED,1,Smart Pack,2_Star,Standard Billing,Video Only,0, NA,3613,0,                 .18,                 .00,0.0,0.0,0.0,0.0,0.0,82.11,NULL,1.0,1,100.0
8255909798088552,RETURNED,1,AT 120,4_Star,Standard Billing,Video Only,0, NA,95,705,                1.38,                 .00,785.94,785.94,785.94,785.94,785.94,253.22,NULL,1.0,1,400.0
8255909798089840,RETURNED,1,AT 200,1_Star,Standard Billing,Video Only,1, NA,329,625,                 .68,               31.50,331.98,331.98,331.98,331.98,648.16,136.55,NULL,1.0,1,400.0
8255909798090475,RETURNED,3,Welcome Pack,2_Star,Standard Billing,Video Only,0, NA,1030,615,                 .25,                 .00,0.0,0.0,0.0,0.0,-0.48,73.3,NULL,2.0,1,400.0
8255909798091051,UNRESOLVED,2,AT 120,2_Star,Standard Billing,Video Only,0, NA,249,565,                 .76,               58.93,1312.69,1312.69,1312.69,1312.69,1312.69,381.15,NULL,4.0,4,700.0
8255909798091200,RETURNED,5,Latino Plus,1_Star,Standard Billing,Video Only,1, NA,492,635,                1.62,              469.50,339.36,339.36,339.36,339.36,339.36,160.52,NULL,2.0,2,500.0
8255909798091861,RETURNED,7,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,756,555,                 .18,              228.64,0.0,125.28,125.28,125.28,125.28,302.58,NULL,4.0,2,500.0
8255909798092240,UNRESOLVED,2,OTHER PROGRAMMING,2_Star,Standard Billing,Video Only,1, NA,226,0,                 .31,                 .00,1233.59,1233.59,1233.59,1233.59,1233.59,348.94,NULL,3.0,3,600.0
8255909798092430,UNRESOLVED,4,Welcome Pack,1_Star,Standard Billing,Wildblue with Video ,0, NA,758,575,                 .64,              161.72,975.9,975.9,975.9,975.9,975.9,337.58,NULL,4.0,4,870.0
8255909798092539,UNRESOLVED,3,AT 250,1_Star,Standard Billing,Video Only,0, NA,353,0,                1.13,               64.77,864.33,864.33,864.33,864.33,864.33,231.95,NULL,2.0,2,500.0
8255909798092968,RETURNED,2,AT 120+,1_Star,Standard Billing,Video Only,0, NA,299,555,                1.12,               65.67,501.76,501.76,501.76,501.76,501.76,278.11,NULL,4.0,3,600.0
8255909798093800,UNRESOLVED,2,AT 200,2_Star,Standard Billing,Video Only,0, NA,156,0,                1.58,              154.90,739.81,739.81,739.81,739.81,739.81,119.95,NULL,1.0,1,300.0
8255909798093560,UNRESOLVED,2,AT 120,1_Star,Recurring Credit Card,Video Only,1, NA,1121,655,                1.48,              166.92,659.31,659.31,659.31,659.31,659.31,311.47,NULL,3.0,2,500.0
8255909798093891,RETURNED,1,OTHER PROGRAMMING,2_Star,Standard Billing,Video Only,1, NA,521,555,                 .07,                 .00,231.77,231.77,231.77,231.77,231.77,23.62,NULL,1.0,1,200.0
8255909798094899,RETURNED,2,AT 200,1_Star,Standard Billing,Video Only,0, CORE INTERNATIONAL,117,595,                 .88,              250.99,437.6,437.6,437.6,437.6,437.6,158.99,NULL,1.0,1,300.0
8255909798095086,RETURNED,2,OTHER PROGRAMMING,2_Star,Standard Billing,Video Only,0, NA,214,575,                1.14,               43.73,948.33,948.33,948.33,948.33,948.33,594.44,NULL,6.0,2,500.0
8255909798095086,TECH TOOK,2,OTHER PROGRAMMING,2_Star,Standard Billing,Video Only,0, NA,214,575,                1.14,               43.73,948.33,948.33,948.33,948.33,948.33,594.44,NULL,6.0,1,400.0
8255909798095904,UNRESOLVED,1,AT 200,1_Star,Standard Billing,Video Only,0, NA,511,615,                 .60,               15.80,681.77,681.77,681.77,681.77,681.77,219.77,NULL,2.0,2,500.0
8255909798096324,RETURNED,1,Latino Dos,2_Star,Standard Billing,Video Only,0, NA,401,605,                 .79,               31.63,293.7,293.7,293.7,293.7,293.7,149.0,NULL,1.0,1,300.0
8255909798096472,UNRESOLVED,2,Latino Max,1_Star,Standard Billing,Video Only,1, NA,876,675,                 .92,               22.32,487.72,487.72,487.72,487.72,487.72,190.8,NULL,2.0,2,500.0
8255909798096944,UNRESOLVED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,148,625,                 .46,              161.92,1289.64,1289.64,1289.64,1289.64,1289.64,211.62,NULL,3.0,3,600.0
8255909798097108,UNRESOLVED,1,AT 120,1_Star,Standard Billing,Video Only,0, NA,247,555,                 .70,                 .00,1226.81,1226.81,1226.81,1226.81,1226.81,254.46,NULL,4.0,4,700.0
8255909798097934,RETURNED,2,AT 120+,1_Star,Standard Billing,Video Only,0, NA,513,515,                1.48,               94.99,587.37,587.37,587.37,587.37,587.37,450.9,NULL,2.0,2,500.0
8255909798099633,UNRESOLVED,1,AT 200,1_Star,Standard Billing,Video Only,0, NA,298,695,                 .80,               41.55,565.39,565.39,565.39,565.39,565.39,195.11,NULL,1.0,1,400.0
8255909798100035,RETURNED,2,AT 250,2_Star,Standard Billing,Video Only,0, NA,298,0,                1.88,                 .00,437.46,437.46,437.46,437.46,437.46,192.69,NULL,3.0,2,500.0
8255909798100035,UNRESOLVED,2,AT 250,2_Star,Standard Billing,Video Only,0, NA,298,0,                1.88,                 .00,437.46,437.46,437.46,437.46,437.46,192.69,NULL,3.0,1,100.0
8255909798100175,UNRESOLVED,6,AT 120,1_Star,Recurring Credit Card,Video Only,0, NA,793,525,                 .31,                 .00,894.86,894.86,894.86,894.86,894.86,268.5,NULL,3.0,3,600.0
8255909798102098,RETURNED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,544,715,                 .50,               89.79,400.58,400.58,400.58,400.58,400.58,495.3,NULL,2.0,1,400.0
