acct_no,equip_status,count_of_latecharge,core_programming,all_star,payment_method,line_of_business,commitment,core_international,tenure,credit_score,trds_mop_equal_2_or_gt_num,tot_amt_now_past_due_amt,bill1,bill2,bill3,bill4,bill5,curr_bal,dish_restart_flag,no_of_receivers,total_devices,total_equip_charge_amt
8255030010113555,RESTARTED,4,UNKNOWN,2_Star,Standard Billing,Video Only,0, NA,3242,565,                 .70,               11.90,702.07,702.07,702.07,702.07,702.07,208.96,NULL,4.0,3,600.0
8255030010114140,RESTARTED,2,AT 120+,1_Star,Standard Billing,Video Only,0, NA,2448,705,                1.15,               73.56,103.96,103.96,103.96,103.96,184.18,NULL,NULL,1.0,1,300.0
8255030010117234,RESTARTED,2,AT 200,4_Star,Standard Billing,Video Only,0, NA,2923,605,                1.76,              144.35,242.46,242.46,242.46,242.46,247.46,226.14,NULL,2.0,2,600.0
8255030010118125,RESTARTED,4,Welcome Pack,1_Star,Standard Billing,Video Only,1, NA,2471,695,                3.30,              406.10,67.08,73.1,66.56,60.15,67.08,69.92,NULL,1.0,3,600.0
8255030010119511,RESTARTED,4,AT 120,5_Star,Standard Billing,Video Only,0, NA,2886,695,                 .18,                 .00,216.12,104.56,104.56,104.56,99.56,187.06,NULL,2.0,2,400.0
8255030010119966,RESTARTED,2,AT 120,3_Star,Standard Billing,Video Only,0, NA,1790,585,                1.38,              129.88,0.0,0.0,0.0,0.0,0.0,3.07,NULL,1.0,1,300.0
8255030010121475,RESTARTED,6,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,1995,585,                 .62,               76.57,84.28,84.28,84.28,84.28,84.28,166.72,NULL,2.0,3,600.0
8255030010124529,RESTARTED,6,AT 120,5_Star,Standard Billing,Video Only,0, NA,3832,0,                 .82,               60.27,193.38,202.92,202.92,188.38,183.38,166.32,NULL,1.0,2,200.0
8255030010130062,RESTARTED,2,AT 200,4_Star,Standard Billing,Wildblue with Video ,0, NA,3777,625,                 .87,               75.78,181.79,392.58,597.85,452.23,250.78,232.72,NULL,3.0,1,100.0
8255030010130252,RESTARTED,5,AT 120,1_Star,Standard Billing,Video Only,1, NA,2927,0,                 .64,              115.09,0.0,0.0,176.98,176.98,176.98,70.16,NULL,4.0,2,200.0
8255030010130658,RESTARTED,4,AT 200,1_Star,Standard Billing,Video Only,1, NA,2106,585,                2.38,                 .00,415.27,415.27,415.27,415.27,415.27,210.53,NULL,1.0,2,600.0
8255030010134056,RESTARTED,2,AT 200,4_Star,Standard Billing,Video Only,0, NA,2906,685,                 .93,                9.66,110.89,183.08,110.89,115.65,110.89,231.08,NULL,2.0,1,100.0
8255030010134270,RESTARTED,2,AT 200,5_Star,Standard Billing,Video Only,0, NA,3798,575,                1.18,              196.92,136.46,136.46,136.46,136.46,131.46,184.62,NULL,5.0,1,100.0
8255030010136499,RESTARTED,1,AT 120,3_Star,Standard Billing,Video Only,0, NA,3793,585,                 .57,               40.52,85.48,85.48,85.48,85.48,80.48,228.89,NULL,2.0,2,200.0
8255030010137000,RESTARTED,5,AT 200,1_Star,Standard Billing,Video Only,0, NA,3147,565,                 .68,                2.35,273.81,251.7,251.7,251.7,249.53,237.45,NULL,1.0,2,600.0
8255030010139527,RESTARTED,3,AT 200,1_Star,Standard Billing,Video Only,0, NA,2058,555,                 .97,                8.84,400.81,400.81,400.81,400.81,400.81,520.17,NULL,4.0,8,1400.0
8255030010143206,RESTARTED,2,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,2096,615,                1.80,              771.16,0.0,0.0,0.0,0.0,0.0,165.49,NULL,1.0,1,300.0
8255030010143354,RESTARTED,2,Welcome Pack,1_Star,Standard Billing,Video Only,0, NA,2840,655,                1.56,               38.79,5.24,5.24,5.24,5.24,5.21,194.9,NULL,2.0,4,800.0
8255030010143719,RESTARTED,5,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,2639,0,                1.13,               70.08,396.87,396.87,396.87,396.87,396.87,120.35,NULL,1.0,3,900.0
8255030010150243,RESTARTED,5,AT 200,1_Star,Standard Billing,Video Only,1, NA,1830,575,                1.09,               69.51,373.44,373.44,373.44,108.08,108.08,108.08,NULL,3.0,2,600.0
8255030010145169,RESTARTED,7,AT 200,1_Star,Standard Billing,Video Only,0, NA,3591,715,                 .93,              691.36,264.54,264.54,264.54,273.57,259.06,183.48,NULL,4.0,4,400.0
8255030010281378,RESTARTED,0,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,1202,535,                 .94,               62.74,308.74,308.74,150.38,150.38,210.04,NULL,NULL,1.0,1,200.0
8255030010440651,RESTARTED,3,Welcome Pack,4_Star,Standard Billing,Video Only,0, NA,3733,615,                 .89,               52.01,316.28,309.28,302.28,147.64,147.64,107.72,NULL,2.0,2,500.0
8255030010448415,RESTARTED,4,AT 250,1_Star,Standard Billing,Video Only,0, NA,1041,555,                1.12,                 .00,599.34,599.34,599.34,599.34,599.34,436.93,NULL,2.0,1,300.0
8255030010476069,RESTARTED,0,AT 120+,4_Star,EFT,Video Only,0, NA,1609,715,                 .60,               94.02,83.49,83.49,83.49,83.49,78.49,0.0,NULL,1.0,1,200.0
8255030010477448,RESTARTED,1,AT 250,5_Star,Standard Billing,Video Only,0, NA,1502,735,                 .00,                 .00,117.02,96.32,246.32,119.66,165.6,142.76,NULL,2.0,4,1000.0
8255030010548354,RESTARTED,0,AT 200,5_Star,Recurring Credit Card,Video Only,0, NA,4369,635,                 .92,              302.82,132.98,132.98,132.98,132.98,132.98,0.0,NULL,3.0,1,100.0
8255030010549568,RESTARTED,7,Welcome Pack,1_Star,Standard Billing,Video Only,0, NA,1927,605,                1.00,               34.68,130.89,128.89,-2.0,270.78,265.78,429.22,NULL,4.0,12,2100.0
8255030010665562,RESTARTED,2,AT 200,5_Star,Standard Billing,Video Only,0, NA,6665,0,                1.54,               23.38,257.28,200.78,200.78,200.78,195.78,264.69,NULL,5.0,1,100.0
8255030010717611,RESTARTED,0,Smart Pack,1_Star,Standard Billing,Video Only,0, NA,3639,705,                1.47,              120.96,125.6,125.6,125.6,120.6,115.6,0.0,NULL,1.0,1,100.0
8255030010719492,RESTARTED,0,AT 200,1_Star,Standard Billing,Video Only,0, NA,2291,555,                 .46,                 .00,219.68,150.88,140.09,215.78,145.67,0.0,NULL,2.0,1,300.0
8255030010737015,RESTARTED,0,AT 200,1_Star,Standard Billing,Video Only,0, NA,3729,685,                2.50,              710.80,194.18,93.59,194.18,93.59,191.18,0.0,NULL,1.0,1,100.0
8255030010761767,RESTARTED,1,AT 120+,1_Star,Standard Billing,Video Only,0, NA,314,595,                2.31,              466.66,285.01,285.01,285.01,285.01,285.01,242.02,NULL,1.0,1,300.0
8255030010781161,RESTARTED,1,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,4473,655,                 .90,              106.73,316.32,214.65,189.27,130.17,131.16,153.62,NULL,1.0,2,400.0
8255030010800425,RESTARTED,1,Welcome Pack,3_Star,Standard Billing,Video Only,0, NA,2285,685,                 .72,               96.89,0.0,0.0,0.0,0.0,0.0,-7.23,NULL,2.0,2,500.0
8255030010805028,RESTARTED,8,AT 120+,1_Star,Standard Billing,Video Only,0, NA,2005,645,                1.08,               17.86,350.4,348.8,497.88,234.71,223.71,NULL,NULL,3.0,3,600.0
8255030010866285,RESTARTED,2,AT 200,4_Star,Standard Billing,Video Only,0, NA,1042,705,                 .25,                 .00,0.0,0.0,0.0,0.0,0.0,57.67,NULL,2.0,2,500.0
8255030010880542,RESTARTED,0,AT 250,5_Star,Standard Billing,Video Only,0, NA,3250,605,                 .88,                3.75,434.87,434.87,428.88,428.88,423.88,0.0,NULL,7.0,1,100.0
8255030010895441,RESTARTED,9,AT 120,1_Star,Standard Billing,Video Only,0, NA,1481,595,                1.15,              193.74,162.91,291.1,196.4,94.7,560.08,NULL,NULL,2.0,5,1500.0
8255030011119593,RESTARTED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,220,535,                1.07,               58.25,1049.56,1049.56,1049.56,1049.56,1049.56,315.48,NULL,3.0,1,300.0
8255030011149202,RESTARTED,1,AT 200,1_Star,Standard Billing,Video Only,0, NA,388,555,                 .81,                6.44,1698.49,1698.49,1698.49,1698.49,1698.49,298.74,NULL,3.0,1,300.0
8255030011190677,RESTARTED,7,AT 120,5_Star,Standard Billing,Video Only,0, NA,2071,665,                 .43,               93.94,201.22,201.22,201.22,201.22,201.22,33.48,NULL,1.0,4,1200.0
8255030011245885,RESTARTED,3,AT 120,1_Star,Standard Billing,Video Only,0, NA,1760,625,                1.00,              470.75,75.31,75.31,75.31,75.31,75.31,144.74,NULL,1.0,2,400.0
8255030011259647,RESTARTED,17,UNKNOWN,2_Star,Standard Billing,Video Only,0, NA,3452,685,                 .96,               73.72,46.07,43.83,25.97,42.21,101.97,220.97,NULL,4.0,2,200.0
8255030011283613,RESTARTED,4,AT 200,1_Star,Standard Billing,Video Only,0, NA,4222,555,                1.79,               92.00,126.81,267.62,270.25,394.06,257.62,266.48,NULL,2.0,1,100.0
8255030011316116,RESTARTED,2,Smart Pack,4_Star,Standard Billing,Video Only,0, NA,3086,685,                2.20,                 .00,114.98,114.98,114.98,109.98,104.98,104.92,NULL,1.0,1,200.0
8255030011349620,RESTARTED,1,Smart Pack,1_Star,Standard Billing,Video Only,0, NA,1539,585,                 .88,               16.14,112.62,52.81,112.62,52.81,102.62,233.14,NULL,1.0,2,370.0
8255030011408681,RESTARTED,0,AT 250,1_Star,Standard Billing,Video Only,0, NA,2548,595,                1.03,              110.41,307.96,307.96,314.94,160.96,295.96,16.3,NULL,4.0,2,500.0
8255030011413145,RESTARTED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,933,555,                1.00,               76.84,380.27,380.27,380.27,380.27,380.27,378.53,NULL,1.0,1,200.0
8255030011488717,RESTARTED,5,AT 200,1_Star,Standard Billing,Video Only,0, NA,6122,0,                1.79,              193.36,163.03,228.78,228.78,223.78,218.78,NULL,NULL,3.0,1,100.0
8255030011490002,RESTARTED,0,AT 250,5_Star,Standard Billing,Wildblue with Video ,0, NA,2367,555,                1.79,               92.00,543.14,484.76,359.76,479.76,467.76,0.0,NULL,2.0,2,400.0
8255030011493485,RESTARTED,0,AT 120,4_Star,Standard Billing,Video Only,0, NA,2784,595,                 .74,              192.44,191.66,377.32,377.32,377.32,365.32,0.0,NULL,2.0,2,500.0
8255030011534379,RESTARTED,1,AT 120,1_Star,Standard Billing,Video Only,0, NA,218,635,                1.56,               15.25,729.58,729.58,729.58,729.58,729.58,149.34,NULL,1.0,1,300.0
8255030011538784,RESTARTED,2,AT 120,1_Star,Standard Billing,Video Only,0, NA,1127,635,                1.18,              220.74,830.29,830.29,830.29,830.29,830.29,366.57,NULL,3.0,6,1200.0
8255030011775931,RESTARTED,11,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,1054,555,                1.21,               96.50,667.84,667.84,667.84,667.84,667.84,122.26,NULL,4.0,7,1300.0
8255030011813872,RESTARTED,6,AT 200,1_Star,Standard Billing,Video Only,0, NA,5647,0,                1.44,               42.69,472.19,319.46,319.46,319.46,307.46,309.46,NULL,5.0,16,3600.0
8255030011829332,RESTARTED,2,Welcome Pack,1_Star,Standard Billing,Video Only,0, NA,2303,645,                 .74,                7.52,523.18,158.83,158.83,185.28,89.14,NULL,NULL,2.0,6,1500.0
8255030011834779,RESTARTED,2,AT 120+,1_Star,Standard Billing,Video Only,0, NA,4265,0,                 .82,               13.12,162.65,162.65,162.65,162.65,162.65,187.32,NULL,2.0,2,400.0
8255030011840560,RESTARTED,1,Welcome Pack,1_Star,Standard Billing,Video Only,0, NA,663,605,                 .00,                 .00,149.84,149.84,149.84,149.84,499.46,74.2,NULL,2.0,1,400.0
8255030011853621,RESTARTED,5,AT 200,1_Star,Standard Billing,Wildblue with Video ,0, NA,1735,595,                 .68,               33.46,371.51,371.51,371.51,739.33,266.57,352.44,NULL,1.0,2,600.0
8255030011982834,RESTARTED,10,AT 250,1_Star,Standard Billing,Video Only,0, NA,1042,615,                 .92,               27.07,0.0,0.0,0.0,0.0,0.0,241.53,NULL,2.0,2,500.0
8255030012003176,RESTARTED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,1660,625,                 .79,              160.95,399.26,399.26,399.26,399.26,399.26,179.82,NULL,2.0,2,500.0
8255030012004653,RESTARTED,5,AT 200,1_Star,Standard Billing,Video Only,0, NA,534,525,                1.79,               92.00,931.45,931.45,931.45,931.45,931.45,481.93,NULL,3.0,2,600.0
8255030012028413,RESTARTED,0,UNKNOWN,2_Star,Standard Billing,Video Only,0, NA,1685,715,                 .92,              727.28,-11.09,-16.33,-21.57,-26.81,-32.05,0.0,NULL,1.0,1,300.0
8255030012107258,RESTARTED,8,AT 200,3_Star,Standard Billing,Video Only,0, NA,4413,565,                 .70,               76.52,345.83,345.83,186.73,186.73,190.78,NULL,NULL,2.0,2,200.0
8255030012145688,RESTARTED,0,UNKNOWN,3_Star,EFT,Video Only,0, NA,5882,0,                 .84,                9.86,84.48,84.48,84.48,79.48,105.48,241.8,NULL,3.0,2,500.0
8255030012149938,RESTARTED,2,AT 120+,1_Star,Standard Billing,Wildblue with Video ,0, NA,1516,625,                 .85,               33.73,465.75,255.87,255.87,326.94,321.94,NULL,NULL,1.0,2,370.0
8255030012174480,RESTARTED,0,Americas Everything Pack,5_Star,Standard Billing,Video Only,0, NA,4531,0,                1.00,              890.33,373.52,281.35,196.58,259.18,123.59,0.0,NULL,2.0,2,400.0
8255030012179463,RESTARTED,2,AT 120,1_Star,Standard Billing,Video Only,0, NA,338,665,                 .57,               22.98,464.96,464.96,464.96,464.96,464.96,161.38,NULL,3.0,1,200.0
8255030012253367,RESTARTED,4,OTHER PROGRAMMING,1_Star,Standard Billing,DSL with Video,0, NA,961,565,                 .79,              337.85,409.37,409.37,409.37,409.37,409.37,314.66,NULL,1.0,1,200.0
8255030012338770,RESTARTED,5,AT 120,1_Star,Standard Billing,Video Only,1, NA,1563,565,                 .91,               45.96,115.43,115.43,115.43,115.43,115.43,115.43,NULL,2.0,2,500.0
8255030012410918,RESTARTED,3,Americas Everything Pack,1_Star,Standard Billing,Video Only,0, NA,2013,625,                 .89,                 .00,195.08,195.08,195.08,195.08,195.08,354.68,NULL,3.0,6,1400.0
8255030012509248,RESTARTED,6,AT 250,1_Star,Standard Billing,Video Only,1, NA,1553,555,                1.10,               28.19,256.82,256.82,256.82,256.82,256.82,293.0,NULL,1.0,2,600.0
8255030012559292,RESTARTED,1,AT 120,1_Star,Standard Billing,Video Only,0, NA,1196,565,                 .73,               24.31,868.98,868.98,868.98,868.98,868.98,116.96,NULL,1.0,1,300.0
8255030012608222,RESTARTED,2,AT 200,4_Star,Standard Billing,Video Only,0, NA,2500,695,                 .58,               13.75,0.0,0.0,0.0,0.0,0.0,60.07,NULL,1.0,1,300.0
8255030012653053,RESTARTED,2,AT 200,1_Star,Standard Billing,Video Only,0, NA,1471,565,                1.09,              118.15,462.29,462.29,462.29,462.29,462.29,214.48,NULL,2.0,2,500.0
8255030012737047,RESTARTED,2,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,2172,745,                 .38,               22.00,0.0,0.0,0.0,0.0,0.0,150.45,NULL,2.0,2,500.0
8255030012752681,RESTARTED,0,AT 120,4_Star,Standard Billing,Video Only,0, NA,1317,565,                 .64,              194.67,215.71,206.08,206.08,206.08,201.08,310.7,NULL,2.0,2,400.0
8255030012801363,RESTARTED,0,AT 200,1_Star,Standard Billing,Video Only,0, NA,2109,625,                 .63,              128.63,240.37,244.35,126.66,120.32,226.35,5.7,NULL,1.0,1,300.0
8255030012835338,RESTARTED,1,AT 250,1_Star,Standard Billing,Video Only,0, NA,1753,605,                1.33,               63.22,250.36,250.36,250.36,250.36,250.36,322.66,NULL,2.0,2,500.0
8255030012935252,RESTARTED,1,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,1733,675,                 .63,               24.26,440.8,440.8,440.8,440.8,440.8,220.29,NULL,2.0,1,300.0
8255030012973873,RESTARTED,0,AT 120+,5_Star,Standard Billing,Wildblue with Video ,0, NA,3737,595,                1.14,               91.57,435.56,425.88,416.2,416.2,417.19,0.0,NULL,3.0,2,400.0
8255030013109790,RESTARTED,0,AT 200,4_Star,Standard Billing,Video Only,0, NA,1513,0,                 .58,               81.49,255.38,255.38,255.38,243.38,115.69,0.0,NULL,4.0,4,700.0
8255030012986552,RESTARTED,2,AT 200,3_Star,Standard Billing,Video Only,0, NA,3102,575,                1.16,              340.55,239.67,124.36,108.31,483.84,483.84,429.91,NULL,6.0,2,400.0
8255030013189867,RESTARTED,6,AT 250,4_Star,Standard Billing,Video Only,0, NA,3787,555,                1.38,                7.12,451.26,318.13,308.22,318.13,306.14,NULL,NULL,4.0,5,1300.0
8255030013205283,RESTARTED,0,Smart Pack,1_Star,Standard Billing,Video Only,0, NA,3355,0,                1.25,               41.00,0.0,0.0,0.0,0.0,0.0,-81.55,NULL,4.0,2,200.0
8255030013232170,RESTARTED,3,AT 120,5_Star,Standard Billing,Video Only,1, NA,3819,675,                 .81,              254.43,197.38,197.38,197.38,192.38,187.38,0.0,NULL,1.0,1,100.0
8255030013342664,RESTARTED,0,AT 200,5_Star,EFT,Video Only,0, NA,2916,745,                 .75,               12.19,107.27,107.27,107.27,107.27,102.27,21.2,NULL,2.0,2,500.0
8255030013371283,RESTARTED,5,OTHER PROGRAMMING,1_Star,Standard Billing,Video Only,0, NA,1685,585,                1.07,              166.34,329.21,329.21,329.21,170.85,170.85,329.93,NULL,2.0,3,600.0
8255030013391984,RESTARTED,7,AT 120+,4_Star,Standard Billing,Video Only,0, NA,3685,505,                 .65,               85.40,283.71,293.69,283.45,283.44,285.69,413.19,NULL,3.0,2,200.0
8255030013516093,RESTARTED,2,AT 250,1_Star,Standard Billing,Video Only,0, NA,1735,575,                 .95,               41.98,209.24,264.54,282.53,277.53,272.53,NULL,NULL,2.0,4,1000.0
8255030013656626,RESTARTED,5,Dish America,1_Star,Standard Billing,Video Only,0, NA,1122,695,                 .44,               25.41,0.0,0.0,0.0,0.0,0.0,120.67,NULL,1.0,2,400.0
8255030013742822,RESTARTED,1,AT 120,1_Star,Standard Billing,Video Only,0, NA,2356,655,                2.38,                 .00,150.76,150.76,150.76,150.76,150.76,168.32,NULL,1.0,1,100.0
8255030013897618,RESTARTED,2,Dish America,1_Star,Standard Billing,Video Only,0, NA,1400,655,                 .92,               20.84,762.61,762.61,762.61,762.61,762.61,211.54,NULL,4.0,4,700.0
8255030013973062,RESTARTED,0,AT 120+,4_Star,Standard Billing,Video Only,0, NA,2787,635,                 .40,                 .00,197.94,197.94,197.94,192.94,187.94,0.0,NULL,2.0,2,400.0
8255030013973807,RESTARTED,5,AT 250,5_Star,Standard Billing,Video Only,0, NA,5359,0,                1.01,               20.64,320.22,310.5,329.84,319.56,270.5,237.44,NULL,3.0,3,600.0
8255030014019741,RESTARTED,6,Welcome Pack,3_Star,Standard Billing,DSL with Video,0, NA,3149,625,                1.09,               36.36,249.34,246.71,247.04,136.01,140.92,129.6,NULL,2.0,2,400.0
8255030014086674,RESTARTED,2,AT 200,3_Star,Standard Billing,Video Only,0, NA,2094,615,                1.66,               59.48,120.89,120.89,316.07,215.38,210.38,NULL,NULL,1.0,1,300.0
8255030014117230,RESTARTED,7,AT 120,1_Star,Standard Billing,Video Only,0, NA,2047,555,                 .86,               29.81,122.03,328.97,149.21,129.02,100.6,372.8,NULL,2.0,2,500.0
8255030014160776,RESTARTED,0,AT 120,1_Star,Standard Billing,Video Only,0, NA,2740,645,                1.17,               43.68,149.78,149.78,149.78,144.78,139.78,0.0,NULL,1.0,1,200.0
8255030014175683,RESTARTED,5,AT 120+,1_Star,Standard Billing,Video Only,0, NA,961,575,                 .75,               90.66,177.06,78.51,59.86,201.1,94.55,NULL,NULL,1.0,4,1600.0
8255030014220885,RESTARTED,4,AT 120,1_Star,Standard Billing,Video Only,0, NA,4739,0,                3.38,               67.25,84.55,84.55,84.55,84.55,84.55,176.74,NULL,2.0,1,100.0
8255030014280988,RESTARTED,2,Americas Everything Pack,1_Star,Standard Billing,Wildblue with Video ,0, NA,915,585,                 .72,               20.45,430.81,430.81,430.81,430.81,430.81,577.31,NULL,1.0,3,570.0
